times,theta_mu,theta_var,range_mu,range_var
1398179928.04228,-2.0450295458071865,9.698416682910005e-07,2.541721728120402,5.244175279436383e-05
1398179928.139332,-2.041501419999194,9.516779447746528e-07,2.534034059533628,8.085623315971079e-05
1398179928.236145,-2.038025036905846,1.000012517804098e-06,2.5272239979628273,7.814359133742952e-05
1398179928.364045,-2.033812809590325,1.955794731369774e-06,2.517432534852934,0.00010060328316544885
1398179928.46574,-2.029280966490473,1.4870720411061436e-06,2.5062445115534064,0.00014111876091247273
1398179928.586053,-2.0254354735656737,9.998965525716548e-07,2.498632853330603,0.00014691695497202537
1398179928.682874,-2.0215733458815968,1.4469689099485857e-06,2.4906485243111214,0.00017955145334302432
1398179928.785859,-2.017742522305073,9.465244803388565e-07,2.482593980848258,0.00022135074825891735
1398179928.882953,-2.014221844218448,9.689325243209842e-07,2.475761467147613,0.0002864577142170967
1398179928.980901,-2.0107291927414366,9.97801748368255e-07,2.4687498646187085,0.00032353902613084827
1398179929.076396,-2.00725956334947,9.402690323149187e-07,2.460956188632663,0.0003692208532036443
1398179929.196183,-2.0033776862975476,1.3666349484174694e-06,2.453162010015294,0.00039697911463716846
1398179929.292821,-1.9992042196911426,1.3870637181486123e-06,2.444472010692053,0.00044466756093384597
1398179929.423792,-1.9946300214302277,1.8919280973813118e-06,2.4332401074838748,0.0005379541715226991
1398179929.537603,-1.990452821823243,9.912604259218008e-07,2.4243053852629806,0.0005964377048365669
1398179929.634971,-1.9865962792128014,1.3324186779065567e-06,2.4162671661932245,0.0006164649493910408
1398179929.739295,-1.9831024631513812,6.237748281543405e-07,2.4090860724966334,0.0005767938757780816
1398179929.844064,-1.9792459417064494,1.919590496979493e-06,2.400884844695817,0.0006098081207918768
1398179929.954626,-1.9754210809575963,5.797026775977976e-07,2.393576199901069,0.000609531599915316
1398179930.055768,-1.971900089362313,1.330711760249257e-06,2.386768243360996,0.0006191678988617668
1398179930.163921,-1.9673540205727233,1.934478269703135e-06,2.3753396621241056,0.000623436778416382
1398179930.27944,-1.963174238414409,9.230809123640172e-07,2.364386680222743,0.0006465095046362289
1398179930.396319,-1.9589535429836828,1.948653391573677e-06,2.3510158541336725,0.0007393002870074175
1398179930.509047,-1.954778848556834,9.502294357941881e-07,2.33576937192425,0.0007277946684285295
1398179930.627744,-1.95056144040278,1.984482469054722e-06,2.3167461566668632,0.0009404035385588053
1398179930.737268,-1.9463781880624709,9.540478371667987e-07,2.2950794027339576,0.0007500625809611681
1398179930.843931,-1.9425220744177043,1.4212320063951124e-06,2.2727013445874027,0.0006942032796420324
1398179930.939674,-1.9390403203973132,5.855698782046476e-07,2.2460129311495574,0.0007104079510202897
1398179931.043896,-1.935187536243034,2.0296483260201e-06,2.204829191185546,0.002590571139413529
1398179931.146313,-1.931383041695259,5.753083844847791e-07,2.1585357241963807,0.0035862878316809846
1398179931.252002,-1.92786778124597,1.4079998173547952e-06,2.1189599410704423,0.002923909557588899
1398179931.367787,-1.9236789727776464,1.339226737381829e-06,2.0909055257074627,0.0023709937798818987
1398179931.464179,-1.9198068349442452,1.0270968589161624e-06,2.074635516347704,0.0020447686917804435
1398179931.585306,-1.9156567464749912,1.9689593924208367e-06,2.061776703194631,0.0016305337576281147
1398179931.689357,-1.9114232739375756,9.940121686187923e-07,2.0520301737051003,0.0014367877013296386
1398179931.786904,-1.9079484971362513,1.0019927092595623e-06,2.0438475202279918,0.0013019540901021366
1398179931.884556,-1.904099533787276,1.4768631467449908e-06,2.035884023581057,0.0011402986237337282
1398179931.991565,-1.9002640618524376,9.077065939622067e-07,2.0284162273465807,0.0008917437421315447
1398179932.092077,-1.8967210070843201,9.81018191830397e-07,2.0224637506558536,0.0006694570065585044
1398179932.18836,-1.8936139333338209,6.192079329596438e-07,2.019404021685,0.0006072202916391858
1398179932.288233,-1.8901161247865612,1.3960339338032263e-06,2.016090624979254,0.0005320105323705255
1398179932.391991,-1.8858910132548066,1.3540709989852165e-06,2.012733099565954,0.00041426387625305216
1398179932.488812,-1.8820559603194187,9.868096638097201e-07,2.009452677096893,0.0003613891698307045
1398179932.585195,-1.878547274538757,9.909351147402266e-07,2.0061356375500066,0.0003103492818933125
1398179932.684349,-1.8754179785133536,6.279243847649478e-07,2.0030642842804984,0.00026763421845023473
1398179932.786348,-1.87190695887152,1.528470914482184e-06,1.999898562652053,0.0002481745078894946
1398179932.900189,-1.8677215670047556,1.4517792364261885e-06,1.997235875139855,0.0002489633667364979
1398179933.004153,-1.8634972449867309,1.4794321103914937e-06,1.9953655948821691,0.0002345302542720798
1398179933.100646,-1.8596888049222686,9.941737203460804e-07,1.9930388342980978,0.00020863971791595443
1398179933.198428,-1.8561518941545987,9.475732818531216e-07,1.9899346730517007,0.0001721535817338966
1398179933.294938,-1.8526639638984077,9.835314046267315e-07,1.9874734969260746,0.00013728253574525972
1398179933.408541,-1.8488028983920126,1.5368312799361587e-06,1.985034502301544,0.00013099498056311196
1398179933.528338,-1.8446371889163617,1.4788367822010324e-06,1.9828166059248522,0.0001313542072485006
1398179933.647757,-1.840074410042909,1.9513509618349894e-06,1.9803685629144698,0.00012290588970119412
1398179933.750488,-1.8358826455810406,9.90751049648709e-07,1.977822121982211,0.00011601650319507682
1398179933.847418,-1.832352931636773,1.0036310163377945e-06,1.9761435387936008,0.00010806142950316966
1398179933.944539,-1.8288987798131835,9.576195017718773e-07,1.9744417754022952,0.000103108111260079
1398179934.059812,-1.8250110325622144,1.386601274972896e-06,1.971205360591976,0.00012859011055143282
